City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Souillac,MU,2021-07-22 04:50:20,-20.5167,57.5167,296.13,88,40,5.14
68,Kolomak,UA,2021-07-22 04:50:21,49.8399,35.3044,292.08,71,66,6.12
69,Isla Vista,US,2021-07-22 04:50:21,34.4133,-119.861,301.55,54,1,2.06
70,Hermanus,ZA,2021-07-22 04:50:21,-34.4187,19.2345,279.76,69,44,4.62
71,Umm Lajj,SA,2021-07-22 04:50:22,25.0213,37.2685,304.29,71,19,8.64
72,Talnakh,RU,2021-07-22 04:50:22,69.4865,88.3972,293.31,42,96,8.62
73,Itamarandiba,BR,2021-07-22 04:50:22,-17.8572,-42.8589,285.06,93,0,0.96
74,Hildburghausen,DE,2021-07-22 04:50:23,50.4255,10.7318,287.62,82,0,1.08
75,La Ronge,CA,2021-07-22 04:50:23,55.1001,-105.2842,294.29,78,90,2.06
76,Basco,PH,2021-07-22 04:50:24,20.4487,121.9702,301.2,87,100,13.64
77,Pucara,PE,2021-07-22 04:50:24,-15.9803,-71.4606,276.43,41,16,1.63
78,Havoysund,NO,2021-07-22 04:50:24,70.9963,24.6622,280.64,85,100,7.59
79,Vanimo,PG,2021-07-22 04:50:25,-2.6741,141.3028,302.22,71,94,2.15
80,Matam,SN,2021-07-22 04:50:25,15.6175,-13.3303,300.7,64,41,8.32
81,Ust-Koksa,RU,2021-07-22 04:50:25,50.2696,85.6108,298.55,45,100,0.23
82,Yamada,JP,2021-07-22 04:50:26,39.4667,141.95,297.28,92,100,2.67
83,Cabo San Lucas,MX,2021-07-22 04:50:02,22.8909,-109.9124,303.99,66,0,0.89
84,Naron,ES,2021-07-22 04:50:26,43.5167,-8.1528,291.26,97,100,1.15
85,Butaritari,KI,2021-07-22 04:50:27,3.0707,172.7902,301.55,74,20,5.49
86,Ribeira Grande,PT,2021-07-22 04:50:27,38.5167,-28.7,293.38,67,42,6.71
87,Port Hardy,CA,2021-07-22 04:50:27,50.6996,-127.4199,286.25,94,90,1.54
88,Takaka,NZ,2021-07-22 04:50:28,-40.85,172.8,287.02,88,100,2.05
89,Tromso,NO,2021-07-22 04:50:28,69.6496,18.957,282.51,93,75,1.34
90,Norman Wells,CA,2021-07-22 04:50:29,65.282,-126.8329,292.17,59,75,5.14
91,Jinji,CN,2021-07-22 04:50:29,23.2281,110.8261,303.94,70,100,3.91
92,Macheng,CN,2021-07-22 04:50:29,31.1783,115.0319,306.71,50,76,2.52
93,Barrow,US,2021-07-22 04:50:30,71.2906,-156.7887,276.16,87,90,8.23
94,Severo-Kurilsk,RU,2021-07-22 04:50:30,50.6789,156.125,284.56,91,76,2.46
95,Byron Bay,AU,2021-07-22 04:50:31,-28.65,153.6167,293.74,64,59,3.01
96,Naryan-Mar,RU,2021-07-22 04:50:31,67.6713,53.087,283.76,68,34,6.67
97,Kyaikkami,MM,2021-07-22 04:50:31,16.08,97.5675,301.05,83,100,9.2
98,Pacific Grove,US,2021-07-22 04:49:02,36.6177,-121.9166,289.69,86,75,0.89
99,Bafia,CM,2021-07-22 04:50:32,4.75,11.2333,293.23,99,100,0.57
100,Vaini,TO,2021-07-22 04:50:32,-21.2,-175.2,298.24,83,20,3.6
101,Luderitz,NA,2021-07-22 04:50:33,-26.6481,15.1594,283.82,38,7,6.45
102,Eyl,SO,2021-07-22 04:50:33,7.9803,49.8164,301.82,55,9,12.64
103,Atagay,RU,2021-07-22 04:50:33,55.1033,99.3875,297.71,47,75,3.1
104,Bathsheba,BB,2021-07-22 04:50:34,13.2167,-59.5167,300.49,83,40,7.72
105,Dese,ET,2021-07-22 04:50:34,11.1333,39.6333,287.47,78,100,2.08
106,Rio Cuarto,AR,2021-07-22 04:50:34,-33.1307,-64.3499,279.17,39,84,5.35
107,Brae,GB,2021-07-22 04:50:35,60.3964,-1.353,285.1,92,3,5.74
108,Kulhudhuffushi,MV,2021-07-22 04:50:36,6.6221,73.07,301.39,76,100,8.33
109,Linjiang,CN,2021-07-22 04:50:37,41.8069,126.9078,306.77,43,100,1.37
110,Hay River,CA,2021-07-22 04:50:37,60.8156,-115.7999,294.14,64,75,3.6
111,Tuktoyaktuk,CA,2021-07-22 04:50:37,69.4541,-133.0374,287.15,100,90,5.14
112,Portobelo,PA,2021-07-22 04:50:38,9.55,-79.65,300.78,89,86,3.72
113,Moose Factory,CA,2021-07-22 04:50:38,51.2585,-80.6094,290.15,82,90,2.06
114,Thompson,CA,2021-07-22 04:50:38,55.7435,-97.8558,292.24,72,90,1.54
115,Kampot,KH,2021-07-22 04:50:39,10.6167,104.1833,303.18,66,98,6.46
116,Avarua,CK,2021-07-22 04:50:39,-21.2078,-159.775,298.18,78,0,1.03
117,Arraial Do Cabo,BR,2021-07-22 04:50:39,-22.9661,-42.0278,292.72,78,99,2.72
118,Georgetown,MY,2021-07-22 04:49:57,5.4112,100.3354,306.11,70,20,3.58
119,Solnechnyy,RU,2021-07-22 04:50:40,50.7214,136.6319,305.56,47,78,2.27
120,Mount Pleasant,US,2021-07-22 04:45:44,32.7941,-79.8626,301.14,93,1,1.79
121,Erzin,TR,2021-07-22 04:50:40,36.9559,36.2,301.44,71,31,1.62
122,Honningsvag,NO,2021-07-22 04:50:41,70.9821,25.9704,279.01,87,75,4.12
123,Teguise,ES,2021-07-22 04:50:41,29.0605,-13.564,292.27,78,0,6.69
