City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nanortalik,GL,60.1432,-45.2371,43.41,97,100,11.97,overcast clouds
80,Fairbanks,US,64.8378,-147.7164,64.4,76,90,5.99,overcast clouds
81,Khandyga,RU,62.6667,135.6,58.48,99,100,5.84,light rain
82,Kahului,US,20.8947,-156.47,87.82,78,40,21.85,scattered clouds
83,Muros,ES,42.7762,-9.0603,64.24,93,66,1.7,broken clouds
84,Alofi,NU,-19.0595,-169.9187,80.49,83,23,8.05,few clouds
85,Carnarvon,AU,-24.8667,113.6333,59.07,71,100,10.36,overcast clouds
86,Lumphat,KH,13.4878,106.9816,73.2,98,100,7.11,overcast clouds
87,Port Lincoln,AU,-34.7333,135.8667,53.31,72,72,17.07,broken clouds
88,East London,ZA,-33.0153,27.9116,55.92,69,0,15.39,clear sky
89,Zhangye,CN,38.9342,100.4517,70.27,72,100,8.9,overcast clouds
90,Thompson,CA,55.7435,-97.8558,69.96,64,75,11.5,broken clouds
91,Avarua,CK,-21.2078,-159.775,78.85,69,25,10.36,scattered clouds
92,Port Alfred,ZA,-33.5906,26.891,54.23,74,0,18.54,clear sky
93,Hamilton,US,39.1834,-84.5333,89.92,59,20,1.01,few clouds
94,Albany,US,42.6001,-73.9662,82.58,50,83,1.01,broken clouds
95,Cortes,ES,41.9395,-1.4396,77.05,56,84,16.11,broken clouds
96,Bonfim,BR,3.0833,-59.95,85.87,65,95,3.8,overcast clouds
97,Upernavik,GL,72.7868,-56.1549,40.06,84,97,5.3,overcast clouds
98,Udachnyy,RU,66.4167,112.4,62.29,53,10,7.56,clear sky
99,Nishihara,JP,26.1842,127.7558,80.26,97,75,16.11,mist
100,Vardo,NO,70.3705,31.1107,46.11,83,99,27.92,overcast clouds
101,Hilo,US,19.7297,-155.09,91.27,80,90,8.05,light rain
102,Jambi,ID,-1.6,103.6167,73.18,92,45,3.0,scattered clouds
103,Begunitsy,RU,59.5855,29.3176,55.69,63,14,3.06,few clouds
104,Dikson,RU,73.5069,80.5464,37.98,94,100,20.67,overcast clouds
105,Ust-Nera,RU,64.5667,143.2,58.05,99,100,7.9,moderate rain
106,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,21,10.0,few clouds
107,Tilichiki,RU,60.4667,166.1,54.61,87,100,4.59,overcast clouds
108,Ancud,CL,-41.8697,-73.8203,45.93,74,100,3.11,overcast clouds
109,Rio Gallegos,AR,-51.6226,-69.2181,39.25,65,0,6.91,clear sky
110,Shemonaikha,KZ,50.6328,81.9056,63.41,81,3,2.82,clear sky
111,Tahta,EG,26.7693,31.5021,85.93,26,0,5.44,clear sky
112,Ribeira Grande,PT,38.5167,-28.7,73.27,89,89,9.95,overcast clouds
113,Takoradi,GH,4.8845,-1.7554,74.62,81,3,6.15,clear sky
114,Mering,DE,48.2656,10.9846,65.25,90,40,1.99,scattered clouds
115,Chernyshkovskiy,RU,48.4219,42.2308,69.13,55,83,8.3,broken clouds
116,Mar Del Plata,AR,-38.0023,-57.5575,50.13,57,76,11.99,broken clouds
117,Pringsewu,ID,-5.3582,104.9744,72.63,97,9,1.95,clear sky
118,Beysehir,TR,37.6773,31.7246,65.98,42,26,4.23,scattered clouds
119,Batagay-Alyta,RU,67.8006,130.4114,59.14,73,21,5.14,few clouds
120,Tanete,ID,-3.9443,119.7848,69.46,95,80,4.25,broken clouds
121,Naze,JP,28.3667,129.4833,77.49,92,100,23.38,overcast clouds
122,Iqaluit,CA,63.7506,-68.5145,51.53,66,75,25.01,broken clouds
123,Olafsvik,IS,64.8945,-23.7142,50.29,88,77,13.58,light rain
124,Japura,ID,-0.3167,102.35,77.34,80,96,2.86,overcast clouds
125,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,4.72,light rain
126,Timaru,NZ,-44.4,171.25,40.37,68,95,7.07,overcast clouds
127,Severo-Kurilsk,RU,50.6789,156.125,55.89,94,51,0.87,broken clouds
128,Pointe Michel,DM,15.25,-61.3833,80.89,82,45,16.62,scattered clouds
129,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,76,0,0.0,clear sky
130,Bauchi,NG,10.5,10.0,70.84,92,75,4.25,moderate rain
131,The Valley,AI,18.217,-63.0578,84.06,83,75,14.97,broken clouds
132,Jinka,ET,5.65,36.65,59.72,89,100,1.74,overcast clouds
133,Samarai,PG,-10.6167,150.6667,79.09,87,92,10.74,overcast clouds
134,Bontang,ID,0.1333,117.5,76.78,87,86,8.34,overcast clouds
135,Bay Roberts,CA,47.5999,-53.2648,67.75,84,72,7.0,light rain
136,Abu Dhabi,AE,24.4667,54.3667,96.91,63,2,5.75,clear sky
137,Husavik,IS,66.0449,-17.3389,60.71,93,71,4.65,broken clouds
138,Toora-Khem,RU,52.4675,96.11,59.25,97,100,2.15,overcast clouds
139,Vega De Alatorre,MX,20.0333,-96.6333,85.62,65,15,10.2,few clouds
140,Kolpashevo,RU,58.3131,82.9089,60.98,75,4,3.33,clear sky
141,Mosquera,CO,4.7059,-74.2302,59.09,82,75,9.22,light rain
142,Corn Island,NI,12.1694,-83.0418,81.55,81,100,16.89,overcast clouds
143,Vallenar,CL,-28.5708,-70.7581,59.97,51,4,3.2,clear sky
144,Saint George,US,37.1041,-113.5841,97.39,30,1,0.0,clear sky
145,Charleston,US,32.7766,-79.9309,88.32,60,1,5.01,clear sky
146,Hobyo,SO,5.3505,48.5268,77.47,74,66,28.34,broken clouds
147,Alice Springs,AU,-23.7,133.8833,42.35,52,41,5.75,haze
148,Kieta,PG,-6.2167,155.6333,79.92,80,100,2.73,overcast clouds
149,Puerto Escondido,MX,15.85,-97.0667,92.23,62,1,11.5,clear sky
150,Visby,SE,57.6409,18.296,58.86,77,9,3.44,clear sky
151,Havelock,US,34.8791,-76.9013,85.05,58,0,5.01,clear sky
152,Adrar,MR,20.5022,-10.0711,94.24,24,54,7.25,broken clouds
153,Invermere,CA,50.5167,-116.0354,89.17,20,6,2.15,clear sky
154,Esperance,AU,-33.8667,121.9,49.84,80,1,18.14,clear sky
155,Sanjwal,PK,33.7608,72.4336,87.94,39,0,6.44,clear sky
156,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,40,9.22,light rain
157,Kollam,IN,8.8833,76.6,78.67,89,44,7.49,scattered clouds
158,Ahipara,NZ,-35.1667,173.1667,57.16,79,100,12.64,light rain
159,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.43,35,64,2.06,broken clouds
160,Urumqi,CN,43.801,87.6005,76.15,29,0,6.71,clear sky
161,Pak Phanang,TH,8.3511,100.202,83.07,85,100,8.05,overcast clouds
162,Fukagawa,JP,43.7081,142.0392,72.77,87,56,2.55,broken clouds
163,Brae,GB,60.3964,-1.353,55.31,84,48,5.68,scattered clouds
164,Moanda,GA,-1.5575,13.2178,73.29,72,69,2.73,light rain
165,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,78,20,14.52,few clouds
166,Te Anau,NZ,-45.4167,167.7167,39.56,89,100,2.35,overcast clouds
167,Karad,IN,17.2833,74.2,72.16,93,100,9.62,overcast clouds
168,Whitehorse,CA,60.7161,-135.0538,63.37,45,75,5.01,broken clouds
169,Bonavista,CA,48.6499,-53.1147,63.12,82,79,9.26,light rain
170,Bethel,US,41.3712,-73.414,82.42,59,1,1.01,clear sky
171,Umm Lajj,SA,25.0213,37.2685,86.52,44,0,8.57,clear sky
172,Namibe,AO,-15.1961,12.1522,65.66,86,0,4.97,clear sky
173,La Spezia,IT,44.1105,9.8434,78.67,75,70,6.87,broken clouds
174,Verl,DE,51.55,7.9167,66.56,92,89,5.35,overcast clouds
175,Vila,PT,42.0304,-8.1588,57.74,82,41,1.25,scattered clouds
176,Port Hedland,AU,-20.3167,118.5667,57.25,72,11,5.75,few clouds
177,Kodiak,US,57.79,-152.4072,58.51,82,75,8.05,broken clouds
178,Coihaique,CL,-45.5752,-72.0662,39.81,81,0,3.44,clear sky
179,Bilma,NE,18.6853,12.9164,87.57,47,99,11.86,overcast clouds
180,Morro Bay,US,35.3658,-120.8499,100.74,49,89,7.0,overcast clouds
181,Saint-Ambroise,CA,48.5501,-71.3324,82.89,39,100,6.35,overcast clouds
182,Areka,ET,7.0667,37.7,58.8,97,100,2.59,light rain
183,Two Rivers,US,44.1539,-87.5693,87.55,63,1,3.0,clear sky
184,West Bay,KY,19.3667,-81.4167,89.67,72,40,1.01,scattered clouds
185,Lavrentiya,RU,65.5833,-171.0,45.1,98,100,11.07,light rain
186,Arrecife,ES,28.963,-13.5477,73.47,83,20,18.41,few clouds
187,Kirillov,RU,59.863,38.3813,51.1,61,58,2.01,broken clouds
188,Cabra,ES,37.4725,-4.4421,85.3,23,0,5.23,clear sky
189,Kudahuvadhoo,MV,2.6708,72.8944,82.8,74,100,7.54,overcast clouds
190,Norman Wells,CA,65.282,-126.8329,68.04,40,40,13.8,scattered clouds
191,Tiksi,RU,71.6872,128.8694,40.96,83,35,4.99,scattered clouds
192,Marica,BR,-22.9194,-42.8186,73.85,75,0,12.57,clear sky
